         268633237 function calls (250394749 primitive calls) in 2069.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
39505/17984   89.980    0.002 2061.258    0.115 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
       17    0.142    0.008 1888.052  111.062 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:280(iter_changes)
     9657    0.460    0.000 1086.159    0.112 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
     1241    0.010    0.000  628.746    0.507 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
20936/14745    0.935    0.000  607.737    0.041 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
230195/1240   22.570    0.000  585.334    0.472 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
   249440    4.351    0.000  156.242    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
  1684133    6.989    0.000  151.346    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
     4160  145.407    0.035  149.011    0.036 {built-in method time.sleep}
19289607/1684133   45.034    0.000  138.695    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
    66977    0.948    0.000   72.654    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:336(_build_single_resource)
  5236220    6.868    0.000   45.954    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
        9    0.001    0.000   40.249    4.472 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\functools.py:930(wrapper)
67300/8049    1.188    0.000   39.163    0.005 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        6    0.000    0.000   37.251    6.209 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:631(on_open_resources)
        3    0.000    0.000   37.174   12.391 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:368(on_resource_double_clicked)
       27    0.004    0.000   34.617    1.282 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:270(_streamsounds)
       30    0.000    0.000   33.627    1.121 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:279(_streamwaves)
 11302620   15.301    0.000   33.134    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
 19289607   14.514    0.000   31.844    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
   111902    9.819    0.000   27.382    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:132(get_nowait)
        5    0.001    0.000   24.446    4.889 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:187(set_sections)
233987/233386   12.560    0.000   23.521    0.000 {built-in method nt.scandir}
     3275    0.068    0.000   23.114    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:182(send_bytes)
    62965    1.527    0.000   20.235    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:902(_poll_result_queue)
   111902    1.153    0.000   16.709    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:96(get)
   111909    0.415    0.000   14.634    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:253(poll)
 19299568   13.908    0.000   13.908    0.000 {method 'search' of 're.Pattern' objects}
     3275    0.051    0.000   13.773    0.004 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:284(_send_bytes)
   111909    1.233    0.000   13.720    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:342(_poll)
   139272    0.802    0.000   12.946    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:80(__init__)
      286    0.015    0.000   12.943    0.045 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:353(_build_resource_list)
      166    0.001    0.000   12.843    0.077 {built-in method insertRow}
      112   12.662    0.113   12.662    0.113 {showText}
     1066    0.020    0.000   11.700    0.011 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:157(_get_cached_or_load)
       40    0.003    0.000   11.535    0.288 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1500(debug)
111167/110529    5.388    0.000   11.317    0.000 {built-in method _winapi.WaitForMultipleObjects}
    67263    0.203    0.000    9.754    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:235(progress_callback_api)
 10803740    9.426    0.000    9.426    0.000 {built-in method _winapi.LCMapStringEx}
    67263    0.833    0.000    9.111    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:289(_on_progress)
   108650    2.810    0.000    9.035    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
      164    0.006    0.000    8.999    0.055 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:2048(module_name)
  5236220    4.534    0.000    8.385    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:64(fnmatchcase)
 38602176    8.322    0.000    8.330    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_file_utils.py:342(normcase)
     4647    1.306    0.000    8.247    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
   410958    0.260    0.000    7.902    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:346(name)
   452902    1.696    0.000    7.632    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:307(_tail)
    67330    6.860    0.000    6.860    0.000 {built-in method adjustSize}
 14684941    6.573    0.000    6.573    0.000 {method 'replace' of 'str' objects}
    67498    0.334    0.000    6.518    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:466(from_path)
   280681    0.415    0.000    6.517    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:167(suffix)
     4647    0.059    0.000    6.246    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1669(handle)
 32876479    6.158    0.000    6.171    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    6.121    3.061 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:336(run)
        1    0.000    0.000    6.120    6.120 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1076(<lambda>)
    13911    0.067    0.000    6.119    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1011(handle)
