         148691 function calls (148622 primitive calls) in 229.033 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  227.162  227.162  227.162  227.162 {built-in method exec}
        4    0.000    0.000    1.342    0.336 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
      5/4    0.000    0.000    1.336    0.334 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1058(join)
      5/4    0.001    0.000    1.336    0.334 {method 'join' of '_thread._ThreadHandle' objects}
      5/4    0.000    0.000    1.335    0.334 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
      5/4    0.001    0.000    1.335    0.334 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
        1    0.000    0.000    1.312    1.312 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000    1.305    1.305 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:837(shutdown)
        1    0.000    0.000    1.304    1.304 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000    1.304    1.304 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000    1.304    1.304 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
        1    0.000    0.000    1.256    1.256 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        4    0.000    0.000    1.256    0.314 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000    1.256    1.256 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
        4    0.000    0.000    1.252    0.313 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
        9    0.000    0.000    1.252    0.139 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
        9    0.000    0.000    1.251    0.139 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
       11    1.251    0.114    1.251    0.114 {built-in method _winapi.WaitForMultipleObjects}
        1    0.006    0.006    0.444    0.444 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\main.py:206(__init__)
        1    0.000    0.000    0.360    0.360 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\main.py:422(_initUi)
        1    0.015    0.015    0.351    0.351 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\uic\qtpy\windows\main.py:15(setupUi)
        6    0.342    0.057    0.343    0.057 {built-in method show}
        4    0.001    0.000    0.313    0.078 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\widgets\main_widgets.py:85(__init__)
        4    0.023    0.006    0.301    0.075 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\uic\qtpy\widgets\resource_list.py:17(setupUi)
        4    0.006    0.002    0.274    0.069 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\treeview.py:26(__init__)
        5    0.000    0.000    0.268    0.054 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:22(__init__)
        8    0.000    0.000    0.268    0.033 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:60(_fix_drawer_button)
        1    0.003    0.003    0.066    0.066 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\main.py:463(_setup_signals)
        7    0.000    0.000    0.048    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:105(wait)
        2    0.000    0.000    0.048    0.024 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:142(join)
        7    0.048    0.007    0.048    0.007 {built-in method _winapi.WaitForSingleObject}
        1    0.024    0.024    0.046    0.046 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\common\style\theme_manager.py:48(get_available_themes)
        3    0.000    0.000    0.032    0.011 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1512(info)
        3    0.000    0.000    0.032    0.011 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\loggerplus\__init__.py:636(_log)
        3    0.000    0.000    0.032    0.011 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:220(shutdown)
        4    0.000    0.000    0.031    0.008 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:983(run)
        3    0.000    0.000    0.030    0.010 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:70(_worker)
        3    0.000    0.000    0.030    0.010 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:54(run)
        3    0.000    0.000    0.030    0.010 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\loggerplus\__init__.py:649(logging_task)
        3    0.000    0.000    0.030    0.010 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
        3    0.000    0.000    0.030    0.010 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1669(handle)
        3    0.000    0.000    0.030    0.010 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1728(callHandlers)
        9    0.000    0.000    0.030    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1011(handle)
        6    0.000    0.000    0.030    0.005 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:71(emit)
        9    0.000    0.000    0.029    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1139(emit)
        6    0.000    0.000    0.029    0.005 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1251(emit)
        9    0.000    0.000    0.029    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1131(flush)
        9    0.029    0.003    0.029    0.003 {method 'flush' of '_io.TextIOWrapper' objects}
     12/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
     12/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   126153    0.021    0.000    0.021    0.000 {method 'lower' of 'str' objects}
     11/9    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
     10/8    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap_external>:1020(exec_module)
       10    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap_external>:1093(get_code)
    34/16    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        5    0.010    0.002    0.010    0.002 {built-in method addTab}
        1    0.000    0.000    0.009    0.009 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\widgets\main_widgets.py:563(__init__)
        2    0.000    0.000    0.009    0.005 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:749(_adjust_process_count)
        2    0.000    0.000    0.009    0.004 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:772(_spawn_process)
      544    0.002    0.000    0.009    0.000 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\qtpy\_utils.py:105(add_action)
        2    0.000    0.000    0.008    0.004 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:110(start)
        2    0.000    0.000    0.007    0.004 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\context.py:334(_Popen)
        1    0.000    0.000    0.007    0.007 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\common\style\theme_manager.py:2884(_apply_theme_and_style)
        7    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1238(_cache_bytecode)
      5/3    0.000    0.000    0.006    0.002 {built-in method builtins.__import__}
        7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1243(set_data)
        7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1085(source_to_code)
        7    0.006    0.001    0.006    0.001 {built-in method builtins.compile}
      624    0.006    0.000    0.006    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:200(_write_atomic)
      544    0.005    0.000    0.005    0.000 {addAction}
        2    0.000    0.000    0.005    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:46(__init__)
     10/8    0.000    0.000    0.004    0.001 {built-in method builtins.exec}
        2    0.000    0.000    0.004    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:783(submit)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.004    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\widgets\main_widgets.py:476(__init__)
       91    0.004    0.000    0.004    0.000 {built-in method nt.stat}
        1    0.002    0.002    0.004    0.004 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\main_settings.py:40(setup_post_init_settings)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        2    0.004    0.002    0.004    0.002 {built-in method _winapi.CreateProcess}
        1    0.000    0.000    0.003    0.003 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\uic\qtpy\widgets\texture_list.py:1(<module>)
       16    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
       73    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.003    0.003    0.003    0.003 {built-in method setStyleSheet}
        6    0.003    0.001    0.003    0.001 {connectSlotsByName}
        1    0.000    0.000    0.003    0.003 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\theme\theme_dialog.py:115(apply_style)
        1    0.001    0.001    0.003    0.003 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\common\style\theme_manager.py:2813(_get_theme_config)
        5    0.000    0.000    0.002    0.000 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:32(_create_drawer_button)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        4    0.002    0.000    0.002    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\widgets\main_widgets.py:433(__init__)
        1    0.002    0.002    0.002    0.002 {built-in method setStyle}
        5    0.000    0.000    0.002    0.000 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\baseview.py:108(_create_drawer_button)
        4    0.000    0.000    0.002    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\common\style\theme_manager.py:215(_load_vscode_theme)
        1    0.002    0.002    0.002    0.002 {built-in method thread}
        1    0.000    0.000    0.002    0.002 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\uic\qtpy\widgets\texture_list.py:15(setupUi)
        2    0.000    0.000    0.002    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:631(__init__)
        7    0.002    0.000    0.002    0.000 {built-in method nt.replace}
        8    0.002    0.000    0.002    0.000 {built-in method nt.open}
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        7    0.001    0.000    0.001    0.000 {method 'write' of '_io.FileIO' objects}
       10    0.001    0.000    0.001    0.000 {built-in method value}
        1    0.000    0.000    0.001    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\common\style\theme_manager.py:590(<lambda>)
        1    0.001    0.001    0.001    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\common\style\theme_manager.py:3062(create_palette)
        5    0.001    0.000    0.001    0.000 {built-in method standardIcon}
        1    0.000    0.000    0.001    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\main.py:1538(reload_settings)
        1    0.000    0.000    0.001    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\main.py:1603(reload_installations)
       17    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        5    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:664(resolve)
        5    0.000    0.000    0.001    0.000 <frozen ntpath>:705(realpath)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      544    0.001    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\functools.py:407(__get__)
        1    0.000    0.000    0.001    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:1(<module>)
        9    0.001    0.000    0.001    0.000 {built-in method verticalScrollBar}
    16/13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.001    0.001    0.001    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\listview.py:22(__init__)
       10    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
        1    0.001    0.001    0.001    0.001 {built-in method setApplicationDisplayName}
       92    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       18    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:442(exists)
        2    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:579(_check_system_limits)
        8    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:552(Pipe)
      545    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\qtpy\QtGui.py:45(__getattr__)
        3    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
       18    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:510(stat)
        7    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:382(add_call_item_to_queue)
       10    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\data\settings.py:46(getter)
        1    0.001    0.001    0.001    0.001 {built-in method style}
      580    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      5/4    0.000    0.000    0.001    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:955(start)
        1    0.000    0.000    0.001    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\QOWiy_ESI7j2n885-mQUE\Lib\site-packages\toolset\gui\windows\main.py:1613(unset_installation)
